seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Bryan,Byrd,55,Risilo Square,Webumde,NV,95586,$9181.64,BLUE,12/14/1970
2,Stephen,Garrett,49,Veume Boulevard,Sicotdac,HI,71626,$320.96,GREEN,12/28/2045
3,Sylvia,Cunningham,48,Bopdes View,Cehooda,AL,86207,$3700.55,GREEN,01/30/2010
4,Andrew,Huff,33,Dedli View,Tududhov,NE,63297,$2571.13,RED,12/03/2053
5,Joe,Freeman,51,Zevut Turnpike,Vuwuhlu,OH,65060,$1767.56,WHITE,04/20/2051
6,Carlos,Morales,30,Ense Glen,Moirutum,NE,05935,$2361.94,RED,02/06/2055
7,Georgie,Love,47,Nahmo Extension,Ufuroce,NE,53820,$4631.71,GREEN,10/15/1907
8,Joel,Bass,37,Ibaza Key,Semlopmu,WV,83782,$8127.93,GREEN,02/17/2014
9,Louise,Collier,28,Hezob Street,Puwfihju,ME,08676,$9766.34,WHITE,10/24/2000
10,Jeffery,Blair,44,Piume Boulevard,Mosalnu,WY,88396,$4834.67,GREEN,12/04/1947
11,Lydia,Knight,20,Coba Turnpike,Bupaape,TN,07015,$9373.45,GREEN,07/29/2004
12,Gerald,Jennings,20,Asomez Place,Miigno,KS,88169,$1470.48,GREEN,10/05/2035
13,Seth,Newton,50,Ifno Court,Hegtalfe,IA,36763,$7358.52,RED,02/12/1925
14,Jerome,Graham,37,Ogzi Heights,Ifiletfe,NM,84850,$8653.92,GREEN,08/22/1955
15,Nathaniel,Fowler,30,Erodom Court,Hofdumva,DC,68829,$7785.63,BLUE,07/02/1996
16,Ellen,Holland,37,Fojo Manor,Nedvunnol,NC,15685,$1085.42,GREEN,06/13/1969
17,Alfred,Ortega,64,Vejte Point,Iduifaoza,AL,68162,$7335.44,GREEN,07/10/1915
18,John,Swanson,57,Lusdas View,Juhcufbob,IN,07499,$9643.41,YELLOW,07/31/2051
19,Augusta,Nunez,21,Depjuh Center,Dolkihim,AZ,35133,$8323.39,WHITE,06/10/1935
20,Cornelia,Sandoval,29,Diga Pass,Nofusi,DE,40352,$6437.31,WHITE,07/08/2046
21,Lura,Ford,33,Folpuc Ridge,Acawidwig,IA,28840,$2435.34,RED,08/24/1919
22,Jose,Briggs,53,Hobod Trail,Zanedehe,NV,04149,$8155.89,RED,05/06/1987
23,Christina,Dixon,51,Juet Path,Ewaihne,ME,08311,$5645.24,RED,05/22/2017
24,Katharine,Reed,50,Evinor Junction,Amiliake,WA,62071,$841.50,WHITE,09/12/1939
25,Henry,Weber,61,Dawuzo Grove,Teviwoubi,CT,58167,$4575.70,RED,02/04/1955
26,Kyle,Lopez,31,Omjor Highway,Kokiuh,KS,75565,$1983.66,GREEN,10/13/1922
27,Leo,Atkins,57,Gulza Park,Kufupzu,ND,64361,$3018.38,RED,02/18/2060
28,Bernice,Mack,49,Narsog Place,Akumejzuz,DC,52489,$9525.40,GREEN,09/18/1968
29,Jon,Hamilton,63,Pinic Glen,Zusezavak,PA,05792,$6265.74,GREEN,02/18/1935
30,Delia,Davidson,36,Arher Park,Tutohve,WA,54815,$6808.50,GREEN,02/01/2045
31,Bryan,Beck,35,Osce Grove,Curaswe,IA,55134,$9449.81,YELLOW,01/14/1970
32,Jennie,Rowe,21,Sukil Park,Gunezma,ME,67472,$9929.60,RED,07/27/2056
33,Kevin,Sparks,55,Ewaju Center,Ejasenbu,OH,17297,$4013.09,YELLOW,07/19/1947
34,Adelaide,Blair,41,Wiser Square,Ajpowa,CA,51346,$2592.75,YELLOW,07/21/2040
35,Susie,Osborne,30,Hehmu Loop,Tikumri,SC,24437,$7946.79,WHITE,01/20/1949
36,Nathan,Roberson,64,Kovdoh Street,Ciwufoj,VA,66333,$1626.11,BLUE,10/24/2013
37,Marc,Jennings,52,Zugeg Avenue,Vowipika,MI,31959,$9956.17,RED,04/26/1989
38,Marc,Shelton,55,Ocose Lane,Iwakbi,NE,12619,$1095.99,YELLOW,01/04/2028
39,Ralph,Hopkins,62,Liwbu Path,Erhambi,MO,63100,$3604.63,RED,12/31/2068
40,Brett,Nunez,21,Laut Junction,Wizeton,MS,74051,$2682.24,BLUE,04/24/2064
41,Cordelia,Dennis,59,Razbiw Pike,Zecjeten,OR,78086,$4747.34,BLUE,09/08/1933
42,Lucile,Washington,40,Irud Path,Igiload,WV,54443,$968.77,RED,09/07/2045
43,Eddie,Smith,62,Nicec Pass,Miovsik,VA,26142,$3660.78,YELLOW,07/08/1979
44,Manuel,Love,53,Derek View,Zizogu,WY,41876,$3471.85,RED,04/15/1979
45,Alberta,Walsh,59,Tagjaz Terrace,Hakvokzed,ID,63553,$3490.59,GREEN,09/21/1953
46,Cora,Townsend,42,Mumu Plaza,Jowpeho,MA,28936,$7658.70,BLUE,03/05/1970
47,Cory,Campbell,18,Veefe Trail,Kojheci,VA,59643,$8391.57,BLUE,07/26/1945
48,Lulu,Adams,57,Hagbok Way,Avinoharo,UT,83694,$4858.57,RED,08/14/1995
49,Christina,Wheeler,33,Viji Circle,Godoge,NC,62009,$7448.54,BLUE,03/01/1957
50,Benjamin,Gordon,39,Timu Street,Lomenal,SC,11222,$6584.04,GREEN,12/15/1913
51,Lois,Hall,18,Wokges Mill,Ivvada,TN,44356,$6894.62,GREEN,04/10/1905
52,Erik,Lamb,23,Sehig Glen,Duzdiguk,SC,59015,$892.95,BLUE,04/15/1924
53,Winifred,Peterson,41,Zozbe Mill,Sempanfok,VT,61869,$3101.65,YELLOW,01/03/2027
